,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
3242,002326,永太科技,化工原料,浙江,8.19,5.38,8.2,640714.5,269720.75,150951.73,96905.38,1.18,0.442,3.56,2.03,20091222,106984.22,1.3,4.89,64.09,27.27,27.98,67613.0
3243,300615,欣天科技,元器件,深圳,125.56,0.39,1.47,54400.75,40662.09,10613.08,20200.46,1.37,0.062,3.08,5.02,20170215,9842.12,0.67,-5.57,-55.12,29.87,8.34,15615.0
3244,002705,新宝股份,家用电器,广东,22.69,4.59,8.13,692965.63,433712.41,174315.31,122722.36,1.51,0.17,4.46,1.73,20140121,133262.13,1.64,-0.88,-28.54,18.54,3.67,13946.0
3245,600116,三峡水利,水力发电,重庆,23.82,9.93,9.93,516614.09,108070.92,335425.25,76917.4,0.77,0.14,2.79,2.39,19970804,89478.11,0.9,7.11,1.48,31.72,27.49,58673.0
3246,300023,宝德股份,专用机械,陕西,39.45,1.44,3.16,694322.81,483271.06,12411.17,58975.38,1.87,0.065,3.46,1.48,20091030,18008.09,0.57,-13.36,-52.84,0.18,7.88,20842.0
3247,002596,海南瑞泽,其他建材,海南,54.93,7.26,10.74,639632.06,321383.0,63387.41,125423.21,1.17,0.07,2.82,2.73,20110707,68729.9,0.64,22.97,12.56,23.79,5.18,74513.0
3248,300222,科大智能,电气设备,上海,51.72,3.42,7.3,690611.75,391283.81,40275.67,273129.13,3.74,0.158,5.66,2.89,20110525,86517.53,1.19,35.23,15.22,35.82,9.27,41163.0
3249,300600,瑞特股份,电气设备,江苏,23.4,0.66,1.6,107267.01,71960.31,17403.72,38101.45,2.38,0.361,5.9,2.86,20170125,41862.03,2.62,-10.48,-1.04,47.28,27.45,9983.0
3250,002673,西部证券,证券,陕西,53.44,35.02,35.02,4936026.5,0.0,20091.99,950118.0,2.71,0.07200000000000001,5.0,1.53,20120503,192882.25,0.55,-19.78,-42.63,0.0,21.95,219020.0
3251,603508,思维列控,软件服务,河南,27.16,0.65,1.6,278417.38,126615.47,16813.63,134623.56,8.41,0.624,16.23,2.09,20151224,99383.24,6.21,24.86,31.37,57.76,35.09,23446.0
3252,300282,三盛教育,文教休闲,北京,24.89,2.23,2.5,263309.44,118870.95,8357.5,201266.34,8.07,0.242,9.71,1.24,20111229,15213.2,0.61,-62.7,16.43,34.69,19.14,6700.0
3253,002449,国星光电,半导体,广东,15.85,6.08,6.18,605341.25,351493.47,219396.02,148634.3,2.4,0.364,5.22,2.21,20100716,96222.0,1.56,11.72,46.49,24.75,12.62,34241.0
3254,300541,先进数通,软件服务,北京,67.55,0.76,1.81,142120.36,122922.26,6004.18,30800.08,1.7,0.1,4.09,3.31,20160913,24042.17,1.33,49.08,-0.05,14.28,3.32,15790.0
3255,600862,中航高科,航空,江苏,33.14,7.91,13.93,692842.38,448354.19,107547.02,144466.98,1.04,0.091,2.59,2.32,19940520,44638.42,0.32,-20.92,-41.01,28.45,9.07,60031.0
3256,002232,启明信息,软件服务,吉林,72.83,4.04,4.09,178640.11,136988.31,29600.01,26188.17,0.64,0.055,2.61,3.07,20080509,33407.1,0.82,1.23,272.94,16.3,3.86,44757.0
3257,601619,嘉泽新能,新型电力,宁夏,33.64,5.04,19.33,897550.5,161656.67,700755.31,19287.9,0.1,0.081,1.31,4.18,20170720,38550.03,0.2,34.57,74.63,61.4,29.17,73074.0
3258,300070,碧水源,环境保护,北京,44.92,20.16,31.51,4946115.0,1630432.13,50428.96,699410.63,2.22,0.11599999999999999,5.79,1.8,20100421,764840.75,2.43,33.14,-31.61,34.44,9.47,86580.0
3259,000516,国际医学,百货,陕西,2.43,19.33,19.71,722467.19,442324.06,34359.31,29959.05,0.15,1.121,2.97,1.84,19930809,341351.97,1.73,-21.55,1698.38,20.32,137.12,86639.0
3260,000609,中迪投资,区域地产,北京,0.0,2.92,2.99,237453.91,213178.09,1883.78,9238.26,0.31,-0.02,5.25,1.04,19961010,108261.9,3.62,-93.38,-104.8,27.51,-42.11,23626.0
