category,content,year,辅助
主持,朱军、董卿、康辉、朱迅、尼格买提（北京主会场）杨帆、阿侯尔里（四川凉山彝族自治州歌舞团）（四川凉山分会场）孟盛楠、曹可凡（上海广播电视台，东方卫视）（上海分会场）张蕾、高枫（广西电视台）（广西桂林分会场）管彤、周巍（黑龙江广播电视台）（黑龙江哈尔滨分会场）,2017,四
国家／地区,中国大陆,2017,五
语言,普通话,2017,六
片尾曲,《难忘今宵》,2017,日
播映,,2017,一
首播频道,中国中央电视台综合频道、中国中央电视台综艺频道、中国中央电视台中文国际频道、中国中央电视台军事·农业频道、中国中央电视台少儿频道、东方卫视等,2017,二
播出日期,北京时间 2017年1月27日 20:00:00－1月28日 00:51:00,2017,三
相关节目,,2017,四
前作,2016年中国中央电视台春节联欢晚会,2017,五
续作,2018年中国中央电视台春节联欢晚会,2017,六
外部链接,,2017,日
官方网站,,2017,一
类型,贺岁节目,2018,二
导演,杨东升,2018,三
主持,康辉、朱迅、任鲁豫、李思思、尼格买提·热合曼（一号演播大厅主会场）马跃、窦爱莉（贵州广播电视台，贵州黔东南分会场）杨帆、桂嘉晨（珠海广播电视台，广东珠海分会场）李佳明、李毅（山东广播电视台，山东曲阜、泰安分会场）张泽群、王丝（海南广播电视总台，海南三亚分会场）,2018,四
国家／地区,中国大陆,2018,五
语言,普通话,2018,六
片尾曲,《难忘今宵》,2018,日
播映,,2018,一
首播频道,中国中央电视台综合频道、中国中央电视台综艺频道、中国中央电视台中文国际频道、中国中央电视台军事·农业频道、中国中央电视台少儿频道等,2018,二
播出日期,北京时间 2018年2月15日20:00:00－2月16日 00:47:00,2018,三
相关节目,,2018,四
前作,2017年中国中央电视台春节联欢晚会,2018,五
续作,2019年中央广播电视总台春节联欢晚会,2018,六
外部链接,,2018,日
官方网站,,2018,一
