cat_name,com_id,com_logo_archive,com_name,com_prov,com_scope_id,current	,invse_currency_id,invse_day,invse_detail_money,invse_guess_particulars,invse_month,invse_round_id,invse_year,round
医疗健康,80871,277f9cac728fe7722938ee4e933fc5df.png,瀚海基因,广东,47,,1,19,21800,13.00,4,2,2018,A轮
企业服务,67577,b207c4419aec6a1629360afe58e15c83.jpg,猎户星空,北京,126,,2,25,4075,13.00,5,2,2017,A轮
医疗健康,1755,archive/1755.png,杏树林,北京,47,,2,27,3200,13.00,1,4,2016,C轮
企业服务,21629,0f1779ec98d6a33129a1a12aaa4988cf.png,Agora声网,上海,126,,2,11,3000,13.00,6,16,2018,B+轮
企业服务,60077,b2a3e94bf367ca2d0683c43b9d47bb2a.png,深鉴科技,北京,126,,2,23,4000,13.00,8,14,2017,A+轮
汽车交通,32566,4e1f2d738997f0c97fa5ceadf4921856.jpg,丰顺路宝,北京,28,,2,22,4500,13.00,2,2,2016,A轮
工具软件,1215,1ea6d4d234795d4dcbbfa853d471b43e.jpg,快牙,北京,161,,2,1,2000,13.00,6,3,2014,B轮
电子商务,18222,b08b21298c7ddc3ccd14d857ddbab8a8.png,小红唇,北京,145,,2,1,6384,13.00,8,4,2016,C轮
电子商务,42859,437c9b42fd8d2324188e8642ba7e5461.jpg,花卷商城,北京,145,,2,17,4000,13.00,10,3,2017,B轮
工具软件,8621779,953c11c0454f237b37a575cb587f85ed.png,B612咔叽,北京,161,,2,31,5000,13.00,1,2,2018,A轮
文化娱乐,42031,f56285ef16dace1fb5e7042402389013.jpg,火星小说,北京,115,,2,8,4000,13.00,11,16,2017,B+轮
工具软件,32676918,dfabd463184fa700f022d318fd64ee9e.png,超脑链,浙江,161,,2,30,2000,13.00,7,2,2018,A轮
金融,35313,d4c48cfc9e4fa320059e95692a4a8bac.png,抓钱猫,浙江,12,,1,14,20000,13.00,9,3,2017,B轮
电子商务,27312,8d4b58192ad7ca42257dba2cbf921474.jpg,链尚国际,上海,145,,2,12,3000,13.00,7,4,2017,C轮
企业服务,16088,859ef6144c4c794eba7a084a737ae1b1.jpg,神策数据,北京,126,,2,11,4400,13.00,4,4,2018,C轮
汽车交通,8805,archive/8805.png,微车,北京,28,,2,19,--,13.00,4,4,2018,C轮
医疗健康,19937662,a8e2c3e645d12e6e22c78e048bb3f893.png,欧米尼医药,上海,47,,1,19,26000,13.00,10,4,2017,C轮
企业服务,2226,b343a7c9dbacb46c069135e3248c8f8d.jpg,拉勾网,北京,126,,2,22,12000,13.00,9,5,2017,D轮
金融,18007,d9fcf0423b6b255b4aa949515c06b6bb.jpg,朝阳永续,上海,12,,1,10,25000,12.50,6,11,2016,战略投资
物流,26194,266bfdf495de7fe00c15bb23bf933c0f.png,永辉云创,上海,211,,1,23,6250,12.50,5,11,2018,战略投资
本地生活,3776,bafe200baee9dac947a702da9b98ab72.jpg,云纵,北京,70,,1,14,25000,12.50,5,16,2018,B+轮
文化娱乐,5355,9497221bb7125a907f087f5a269b5542.png,MorningTec晨之科,上海,115,,1,21,25000,12.50,11,5,2016,D轮
金融,53970,6e85887df0855289fe37646dfd022e85.png,爱贷网,浙江,12,,1,25,20000,12.00,11,3,2016,B轮
旅游,10265,archive/10265.png,UTHING游心旅行,北京,57,,1,24,--,12.00,8,4,2017,C轮
汽车交通,13287,archive/13287.png,好车无忧,北京,28,,2,11,5000,12.00,11,3,2015,B轮
医疗健康,29680,bc068e88136afe34206b7424b808ab5e.jpg,中药材天地网,四川,47,,1,1,--,12.00,9,4,2016,C轮
企业服务,20053,fac9a93ac106c3fc9a6eae08fd9a864c.png,二维火,浙江,126,,1,18,--,12.00,7,3,2016,B轮
医疗健康,44132,746e772f3e6e2d7f54117b5be966ada5.jpg,鹍远基因,上海,47,,2,28,6000,12.00,3,14,2018,A+轮
文化娱乐,33317,467a5fa84e0879b96acc1a4f7fc964aa.jpg,二更,浙江,115,,1,18,12000,12.00,4,16,2018,B+轮
游戏,10293,archive/10293.png,ImbaTV,上海,80,,1,9,--,12.00,2,4,2018,C轮
企业服务,25444663,8a87bd6008a69f5fdffa6fbcd0ed1673.png,硅基智能,江苏,126,,1,8,--,12.00,7,14,2018,A+轮
本地生活,18114,0e012e7acdf2554e4983dce355d144f6.png,ENJOY,北京,70,,2,22,3000,12.00,4,19,2016,C+轮
金融,28293,a69034f6a44b0d7e023bf2a737b81214.jpg,微汇金融WeXFin,上海,12,,2,25,3200,12.00,10,2,2015,A轮
文化娱乐,26340,9e53c69872e523947b83395779720eef.jpg,原力动画,江苏,115,,1,23,--,12.00,2,11,2016,战略投资
汽车交通,50867,96a776fb35999bc2ce44e71e47b834d8.png,凯泰铭,北京,28,,1,1,--,12.00,2,14,2018,A+轮
金融,27433,31ae997afe244ea901f2afe2e2d416d5.png,开始吧众筹,浙江,12,,1,29,19000,12.00,8,4,2017,C轮
本地生活,12957,996a943cad98dc9cdb1801879f075969.jpg,FarmLink链农,北京,70,,1,21,--,12.00,7,16,2017,B+轮
电子商务,17229,924235ed1bc4381a090c5a2cb5e07d02.png,麦乐购,北京,145,,2,8,5000,12.00,5,3,2015,B轮
硬件,8940,archive/8940.jpg,MemBlaze忆恒创源科技,北京,103,,2,21,--,12.00,12,4,2015,C轮
房产服务,33223,2793d12a015f45e7a58bf2ee47a1d070.png,好租网,北京,38,,1,8,--,12.00,5,4,2018,C轮
硬件,16442,c741ef1a172cfee2b01c804697c1d78b.jpg,3Glasses,广东,103,,1,23,24000,12.00,3,4,2018,C轮
文化娱乐,41512,773ec71178fee4e85397fd5b917370a0.jpg,皮皮鲁,北京,115,,1,16,--,12.00,10,3,2016,B轮
汽车交通,20291,26ba9c826fad96b21643688a8a7b117c.png,乐车邦,上海,28,,1,25,30000,12.00,5,3,2017,B轮
房产服务,18463,054c036f9b63cb52feef6414b2b3dc56.png,安心公寓,上海,38,,1,6,--,12.00,5,16,2017,B+轮
文化娱乐,51953,28d9eedc14ab0d401179951662bc93a5.jpg,笑果文化,上海,115,,1,24,10000,12.00,5,14,2017,A+轮
电子商务,20631,095996c478866177a43af6f78f480288.jpg,韩束,上海,145,,1,11,40000,12.00,5,11,2015,战略投资
本地生活,15054,fb81cfe6f49762443b750f50c2d1c839.png,宅米,上海,70,,2,20,--,12.00,4,16,2016,B+轮
企业服务,8166,archive/8166.png,永洪科技,北京,126,,1,23,20000,12.00,7,4,2016,C轮
医疗健康,30365,850aaf66d945590d7c1f11cbcd1e1ebd.jpg,康方生物,广东,47,,1,28,30000,12.00,8,3,2017,B轮
企业服务,2734,archive/2734.jpg,大街网,北京,126,,1,26,10000,12.00,5,20,2017,D+轮
医疗健康,35783,97849380c8cd11981192386521d60706.png,世和基因,江苏,47,,1,1,5000,12.00,11,19,2017,C+轮
